fold,train_trials,test_trials,accuracy_pct,balanced_accuracy_pct
0,2416,618,91.42394822006472,91.7989417989418
1,2418,616,94.48051948051948,96.17604617604619
2,2434,600,100.0,100.0
3,2434,600,96.16666666666667,93.95604395604397
4,2434,600,97.33333333333334,97.8021978021978
overall,,3034,95.8470665787739,95.93073593073595
